Seed,Feature_Type,Label,Train_Loss,Train_Accuracy,Train_ROC_AUC,Test_Loss,Test_Accuracy,Test_ROC_AUC,Weight_Norm,Cosine_Sim_Input_Error,Cosine_Sim_Input_Combined,Cosine_Sim_Error_Combined,Top_k_Indices
0,sae_input,target,0.007897883951287725,1.0,0.9999999999999999,1.577899630682227,0.724,0.7927317573194952,2.4967594146728516,0.5106747150421143,0.511267900466919,0.9998079538345337,
0,sae_diff,target,0.011155298396216784,1.0,1.0,1.4035364302815347,0.724,0.7660324171952079,2.9122161865234375,0.5106747150421143,0.511267900466919,0.9998079538345337,
0,sae_acts_post,target,0.015471501743693663,1.0,1.0,1.8442959549912863,0.696,0.745659555384714,4.450275897979736,,,,
0,sae_acts_and_error,target,0.0111675144220824,1.0,1.0,1.3961386899148285,0.724,0.7673617784611442,2.913438558578491,0.5106747150421143,0.511267900466919,0.9998079538345337,"[4810, 13716, 2755]"
1,sae_input,target,0.008189722546443734,1.0,0.9999999999999999,1.7926018237653647,0.69,0.7570453633079086,2.5276949405670166,0.5074431300163269,0.5098950266838074,0.9986445903778076,
1,sae_diff,target,0.011370160076382736,1.0,1.0,1.2232580142439082,0.728,0.7839261340826976,2.9323389530181885,0.5074431300163269,0.5098950266838074,0.9986445903778076,
1,sae_acts_post,target,0.015650273358088492,1.0,1.0,1.802021917590022,0.712,0.7399277398635086,4.5955963134765625,,,,
1,sae_acts_and_error,target,0.01136511513427212,1.0,0.9999999999999999,1.2318750085008494,0.72,0.7824167001204336,2.9321694374084473,0.5074431300163269,0.5098950266838074,0.9986445903778076,"[15766, 13716, 14132]"
2,sae_input,target,0.008195641667684123,1.0,1.0,1.8371276899318845,0.704,0.7632648489503328,2.5351219177246094,0.5007827281951904,0.5036182403564453,0.9985950589179993,
2,sae_diff,target,0.011641747573117055,1.0,1.0,1.3466247922131138,0.704,0.7635368663594471,2.9594321250915527,0.5007827281951904,0.5036182403564453,0.9985950589179993,
2,sae_acts_post,target,0.01535275288429877,1.0,1.0,1.7047956941969031,0.68,0.7476318484383,4.419105529785156,,,,
2,sae_acts_and_error,target,0.011662221259533007,1.0,1.0,1.3596975421763995,0.702,0.7610727086533537,2.9611947536468506,0.5007827281951904,0.5036182403564453,0.9985950589179993,"[14132, 3935, 15077]"
3,sae_input,target,0.007555452485727482,1.0,1.0,1.8333704054074156,0.696,0.7569511179447754,2.456864833831787,0.5175149440765381,0.519225537776947,0.9992774724960327,
3,sae_diff,target,0.010881658501018989,1.0,1.0,1.5018187312985258,0.694,0.7424402588250367,2.8796093463897705,0.5175149440765381,0.519225537776947,0.9992774724960327,
3,sae_acts_post,target,0.015436002312795521,1.0,1.0,1.725105713122522,0.684,0.7413831763726055,4.385268211364746,,,,
3,sae_acts_and_error,target,0.010894552938480916,1.0,1.0,1.5045263978876737,0.698,0.7418156191940547,2.880815267562866,0.5175149440765381,0.519225537776947,0.9992774724960327,"[13354, 14132, 9666]"
4,sae_input,target,0.008100929161087444,1.0,1.0,1.5867820196579374,0.712,0.7660565883652783,2.5109126567840576,0.5256038904190063,0.5268822908401489,0.9993599653244019,
4,sae_diff,target,0.011093027466539463,1.0,1.0,1.4937475861117935,0.698,0.7381146819106179,2.895233392715454,0.5256038904190063,0.5268822908401489,0.9993599653244019,
4,sae_acts_post,target,0.015296292152598187,1.0,1.0,1.8114099522089104,0.694,0.7275624089286,4.463818550109863,,,,
4,sae_acts_and_error,target,0.011115352609035546,1.0,1.0,1.4954425921800722,0.702,0.7368496901570832,2.8975305557250977,0.5256038904190063,0.5268822908401489,0.9993599653244019,"[14132, 13003, 1360]"
5,sae_input,target,0.007913492129693538,1.0,1.0,1.7026242795313307,0.718,0.7597734073706615,2.5009493827819824,0.5249120593070984,0.5269434452056885,0.9971921443939209,
5,sae_diff,target,0.011003922295082904,1.0,1.0,1.5611784669887303,0.69,0.7443311836904514,2.89571475982666,0.5249120593070984,0.5269434452056885,0.9971921443939209,
5,sae_acts_post,target,0.015313993724901703,1.0,0.9999999999999999,2.077105533861862,0.686,0.7217519322782481,4.459190845489502,,,,
5,sae_acts_and_error,target,0.011012983185817156,1.0,1.0,1.5654627190787278,0.688,0.7438831191691604,2.8963377475738525,0.5249120593070984,0.5269434452056885,0.9971921443939209,"[5575, 8199, 14132]"
6,sae_input,target,0.007433205813428877,1.0,1.0,1.8250413082270516,0.702,0.7449116743471582,2.4353246688842773,0.5266380906105042,0.52705979347229,0.9986218214035034,
6,sae_diff,target,0.011044211591273879,1.0,1.0,1.2789969281194462,0.722,0.7711373527905786,2.9001266956329346,0.5266380906105042,0.52705979347229,0.9986218214035034,
6,sae_acts_post,target,0.01476564424405704,1.0,1.0,1.9453892581649446,0.664,0.7154377880184333,4.2480149269104,,,,
6,sae_acts_and_error,target,0.011064318033092208,1.0,0.9999999999999999,1.278757655783432,0.718,0.7705133128520225,2.902324914932251,0.5266380906105042,0.52705979347229,0.9986218214035034,"[3935, 10403, 568]"
7,sae_input,target,0.0076525105407497076,1.0,1.0,2.059472496534245,0.686,0.7260298181350815,2.460679769515991,0.5201770663261414,0.5221259593963623,0.9991865158081055,
7,sae_diff,target,0.011194140101468523,1.0,1.0,1.6233140379384294,0.672,0.7167759141443353,2.911153554916382,0.5201770663261414,0.5221259593963623,0.9991865158081055,
7,sae_acts_post,target,0.015483369847546,1.0,1.0,1.9822547782250608,0.678,0.7275641025641026,4.654106140136719,,,,
7,sae_acts_and_error,target,0.011219995081981477,1.0,1.0,1.6304871101649576,0.672,0.7164224664224663,2.913648843765259,0.5201770663261414,0.5221259593963623,0.9991865158081055,"[14132, 9620, 4810]"
8,sae_input,target,0.008121286899349642,1.0,0.9999999999999999,1.8736590844459888,0.698,0.7485397897297212,2.516033172607422,0.507266640663147,0.5077967047691345,0.9989650845527649,
8,sae_diff,target,0.01137965752067722,1.0,1.0,1.3478342351449186,0.722,0.7621737530204349,2.9226465225219727,0.507266640663147,0.5077967047691345,0.9989650845527649,
8,sae_acts_post,target,0.014730472911293908,1.0,1.0,1.8315622657899824,0.678,0.7348818229825096,4.4144182205200195,,,,
8,sae_acts_and_error,target,0.011371845063111409,1.0,1.0,1.363594783339422,0.706,0.7605735225872524,2.921393394470215,0.507266640663147,0.5077967047691345,0.9989650845527649,"[15077, 14132, 14788]"
9,sae_input,target,0.007795616710457745,1.0,1.0,1.9764235048000218,0.704,0.7368985841501697,2.480339527130127,0.5158190727233887,0.5180118680000305,0.9990167617797852,
9,sae_diff,target,0.010766626109750259,1.0,1.0,1.5025128338748976,0.662,0.73620987891601,2.8739988803863525,0.5158190727233887,0.5180118680000305,0.9990167617797852,
9,sae_acts_post,target,0.014905745795572278,1.0,1.0,1.9943463609310108,0.67,0.7200493305144469,4.39250373840332,,,,
9,sae_acts_and_error,target,0.010767129654690956,1.0,0.9999999999999999,1.5060852523764239,0.66,0.7354410916778782,2.8729214668273926,0.5158190727233887,0.5180118680000305,0.9990167617797852,"[3672, 7985, 14132]"
10,sae_input,target,0.008117961042648014,1.0,1.0,1.6326978404020724,0.722,0.7794270708235257,2.5210022926330566,0.5305148363113403,0.5307734608650208,0.9997068047523499,
10,sae_diff,target,0.011256486317778574,1.0,1.0,1.546045443051622,0.68,0.735712798834286,2.9200754165649414,0.5305148363113403,0.5307734608650208,0.9997068047523499,
10,sae_acts_post,target,0.016075768500358842,1.0,0.9999999999999999,1.8161906511014534,0.674,0.7319338361275239,4.470398902893066,,,,
10,sae_acts_and_error,target,0.01123771367161014,1.0,1.0,1.5463057724661267,0.68,0.7347040079422267,2.9186506271362305,0.5305148363113403,0.5307734608650208,0.9997068047523499,"[579, 12566, 13003]"
11,sae_input,target,0.007776933048742431,1.0,1.0,1.5086339205028867,0.748,0.7949816303284081,2.4838500022888184,0.511337161064148,0.5136595964431763,0.9982171058654785,
11,sae_diff,target,0.01110798442872082,1.0,0.9999999999999999,1.4191032796423277,0.72,0.7636328632622611,2.902188539505005,0.511337161064148,0.5136595964431763,0.9982171058654785,
11,sae_acts_post,target,0.015070928901969153,1.0,0.9999999999999999,1.923828675117952,0.684,0.7291235500794148,4.449441432952881,,,,
11,sae_acts_and_error,target,0.011107751738559705,1.0,1.0,1.4171783566235885,0.72,0.7633922125427155,2.9016027450561523,0.511337161064148,0.5136595964431763,0.9982171058654785,"[14132, 7985, 3935]"
12,sae_input,target,0.008311932273286759,1.0,1.0,1.6634565487188957,0.72,0.7620329041718366,2.5382864475250244,0.5304977893829346,0.5324904322624207,0.9987636804580688,
12,sae_diff,target,0.011336294319619857,1.0,1.0,1.5205143532789114,0.668,0.7344784801559806,2.9169042110443115,0.5304977893829346,0.5324904322624207,0.9987636804580688,
12,sae_acts_post,target,0.015622640535483725,1.0,0.9999999999999999,1.6303437054640413,0.72,0.758987415201663,4.512748718261719,,,,
12,sae_acts_and_error,target,0.011280983841328947,1.0,1.0,1.518643217619454,0.67,0.7345107075524904,2.9116389751434326,0.5304977893829346,0.5324904322624207,0.9987636804580688,"[7985, 1002, 13354]"
13,sae_input,target,0.007980594377643573,1.0,1.0,1.5463215357513505,0.728,0.7821245139922238,2.505446672439575,0.5046160817146301,0.5050263404846191,0.9992870688438416,
13,sae_diff,target,0.011344138292348146,1.0,1.0,1.3448561145910733,0.712,0.7723643578297253,2.9288806915283203,0.5046160817146301,0.5050263404846191,0.9992870688438416,
13,sae_acts_post,target,0.014619089010535834,1.0,1.0,1.7633918844219008,0.682,0.7342997487959807,4.38279390335083,,,,
13,sae_acts_and_error,target,0.011351712604676248,1.0,1.0,1.348032638216773,0.712,0.7713563417014673,2.9298717975616455,0.5046160817146301,0.5050263404846191,0.9992870688438416,"[3935, 2978, 10744]"
14,sae_input,target,0.008234914879148523,1.0,1.0,1.9166675732797243,0.694,0.7351077313054499,2.5368714332580566,0.5309781432151794,0.5317481160163879,0.9983834028244019,
14,sae_diff,target,0.01112165383663257,1.0,1.0,1.554658526269016,0.658,0.7216954645361058,2.90570330619812,0.5309781432151794,0.5317481160163879,0.9983834028244019,
14,sae_acts_post,target,0.016172267575396762,1.0,0.9999999999999999,1.6783867835074617,0.696,0.7534774028974347,4.522709846496582,,,,
14,sae_acts_and_error,target,0.01113657653659935,1.0,0.9999999999999999,1.552126719754371,0.662,0.7217756814426208,2.9068820476531982,0.5309781432151794,0.5317481160163879,0.9983834028244019,"[9666, 5575, 7279]"
15,sae_input,target,0.00770065350951155,1.0,1.0,1.7240631173956327,0.692,0.7512920206723308,2.4664387702941895,0.5295259356498718,0.5303834080696106,0.9994788765907288,
15,sae_diff,target,0.011389231316113507,1.0,0.9999999999999999,1.4077079494573905,0.708,0.7587641402262435,2.9312093257904053,0.5295259356498718,0.5303834080696106,0.9994788765907288,
15,sae_acts_post,target,0.015356808709762786,1.0,1.0,1.9331377045153464,0.668,0.7083953343253492,4.456563949584961,,,,
15,sae_acts_and_error,target,0.011372411187475976,1.0,1.0,1.41427604845013,0.708,0.7584761356181698,2.929561138153076,0.5295259356498718,0.5303834080696106,0.9994788765907288,"[9666, 13716, 13354]"
16,sae_input,target,0.008532393395089145,1.0,1.0,1.759261982221597,0.686,0.7351031597172125,2.556696653366089,0.5199389457702637,0.5205045938491821,0.9993147850036621,
16,sae_diff,target,0.01137791367709966,1.0,1.0,1.3906051874060317,0.682,0.7431667708684011,2.9273793697357178,0.5199389457702637,0.5205045938491821,0.9993147850036621,
16,sae_acts_post,target,0.015269171770873054,1.0,1.0,1.964434112259968,0.676,0.7183667580435723,4.456263542175293,,,,
16,sae_acts_and_error,target,0.011360923024674292,1.0,1.0,1.3861232959024077,0.678,0.7436156398788053,2.9254698753356934,0.5199389457702637,0.5205045938491821,0.9993147850036621,"[13003, 9666, 7985]"
17,sae_input,target,0.007999975826145117,1.0,1.0,1.8439235564594127,0.688,0.7412954429083461,2.5026562213897705,0.5075517892837524,0.5093314051628113,0.9991123080253601,
17,sae_diff,target,0.01123057998343122,1.0,1.0,1.700803779693783,0.654,0.7013088837685613,2.9072556495666504,0.5075517892837524,0.5093314051628113,0.9991123080253601,
17,sae_acts_post,target,0.014987300580212406,1.0,1.0,1.915712471402865,0.676,0.714365719406042,4.44918966293335,,,,
17,sae_acts_and_error,target,0.011255155191661075,1.0,1.0,1.7023805149164737,0.656,0.7007168458781362,2.9096176624298096,0.5075517892837524,0.5093314051628113,0.9991123080253601,"[10744, 14132, 9118]"
18,sae_input,target,0.007975382469891197,1.0,1.0,1.8081611308347811,0.71,0.7550104935997052,2.5053627490997314,0.5272275805473328,0.5321458578109741,0.9959703683853149,
18,sae_diff,target,0.011252960767265481,1.0,1.0,1.5358559153128735,0.66,0.7328377577340233,2.91996169090271,0.5272275805473328,0.5321458578109741,0.9959703683853149,
18,sae_acts_post,target,0.015881291862646422,1.0,1.0,1.8365923114445122,0.694,0.735465162851055,4.462141990661621,,,,
18,sae_acts_and_error,target,0.011156094293148318,1.0,1.0,1.5295447435629634,0.664,0.7348884153863408,2.909597396850586,0.5272275805473328,0.5321458578109741,0.9959703683853149,"[6034, 14132, 4946]"
19,sae_input,target,0.00758539850090974,1.0,0.9999999999999999,1.9266463094075839,0.68,0.7345590117767536,2.461564540863037,0.49452802538871765,0.4973655641078949,0.9991356134414673,
19,sae_diff,target,0.011280234496227805,1.0,1.0,1.5278417379772293,0.664,0.7282226062467998,2.916149616241455,0.49452802538871765,0.4973655641078949,0.9991356134414673,
19,sae_acts_post,target,0.015261589955013666,1.0,0.9999999999999999,2.0146185535818217,0.678,0.7023009472606246,4.477770805358887,,,,
19,sae_acts_and_error,target,0.01132919424671403,1.0,1.0,1.5370037173764586,0.664,0.7281746031746031,2.919879198074341,0.49452802538871765,0.4973655641078949,0.9991356134414673,"[14132, 14541, 2413]"
20,sae_input,target,0.00788866992769162,1.0,1.0,1.6371629205041125,0.688,0.7531005748982624,2.4965054988861084,0.5229588747024536,0.5251249074935913,0.9989895224571228,
20,sae_diff,target,0.011370086053179232,1.0,1.0,1.3910751132861356,0.678,0.7468348297913572,2.9261348247528076,0.5229588747024536,0.5251249074935913,0.9989895224571228,
20,sae_acts_post,target,0.015964070176212687,1.0,1.0,1.842684683213189,0.68,0.7285059104708997,4.334741115570068,,,,
20,sae_acts_and_error,target,0.011401309578036128,1.0,1.0,1.4098243341877037,0.672,0.7459950907564111,2.9288108348846436,0.5229588747024536,0.5251249074935913,0.9989895224571228,"[14132, 8087, 6034]"
21,sae_input,target,0.008236398668290835,1.0,0.9999999999999999,1.7972548672855342,0.702,0.7441116231438811,2.534183979034424,0.5041150450706482,0.5042744278907776,0.9982329607009888,
21,sae_diff,target,0.011367568402163504,1.0,1.0,1.5372431605336734,0.65,0.7200940860215054,2.919412612915039,0.5041150450706482,0.5042744278907776,0.9982329607009888,
21,sae_acts_post,target,0.01504491566565356,1.0,1.0,1.7971777180378772,0.67,0.7346390168970814,4.371275901794434,,,,
21,sae_acts_and_error,target,0.011410181527636898,1.0,0.9999999999999999,1.5091218178174601,0.658,0.7250224014336917,2.923740863800049,0.5041150450706482,0.5042744278907776,0.9982329607009888,"[6373, 1002, 9106]"
22,sae_input,target,0.007994596153635099,1.0,1.0,1.713016321598837,0.694,0.7436493681442041,2.496218204498291,0.5284651517868042,0.5300133228302002,0.9987690448760986,
22,sae_diff,target,0.011452425298611239,1.0,0.9999999999999999,1.331957937350277,0.68,0.7568798511771122,2.93593168258667,0.5284651517868042,0.5300133228302002,0.9987690448760986,
22,sae_acts_post,target,0.015399016166402714,1.0,1.0,2.0391563386402867,0.664,0.715729039707486,4.463885307312012,,,,
22,sae_acts_and_error,target,0.011479957665660073,1.0,1.0,1.3358138545140854,0.68,0.7565430752453655,2.938189744949341,0.5284651517868042,0.5300133228302002,0.9987690448760986,"[3935, 14132, 9973]"
23,sae_input,target,0.007797764834170095,1.0,1.0,1.6702185729703747,0.7,0.7620614035087719,2.479694128036499,0.5456768274307251,0.5478183031082153,0.9984321594238281,
23,sae_diff,target,0.010959025095084823,1.0,1.0,1.5471260473621042,0.652,0.7149606553147574,2.885157346725464,0.5456768274307251,0.5478183031082153,0.9984321594238281,
23,sae_acts_post,target,0.014658940770480378,1.0,1.0,1.7866523980078137,0.672,0.7357939886480909,4.3757171630859375,,,,
23,sae_acts_and_error,target,0.010976636709277458,1.0,1.0,1.5549599456554952,0.66,0.7139931630546955,2.886744737625122,0.5456768274307251,0.5478183031082153,0.9984321594238281,"[14132, 13003, 3441]"
24,sae_input,target,0.007726727798596805,1.0,1.0,1.935888805230627,0.68,0.733792,2.4689571857452393,0.5421680212020874,0.541938304901123,0.9996193051338196,
24,sae_diff,target,0.011447231594438088,1.0,1.0,1.4012333059248492,0.694,0.73896,2.9363083839416504,0.5421680212020874,0.541938304901123,0.9996193051338196,
24,sae_acts_post,target,0.015492066714553816,1.0,1.0,1.9475672821722463,0.672,0.724048,4.607333660125732,,,,
24,sae_acts_and_error,target,0.011447167166987564,1.0,1.0,1.4034224048594832,0.698,0.7381759999999999,2.936530351638794,0.5421680212020874,0.541938304901123,0.9996193051338196,"[9666, 3935, 13003]"
25,sae_input,target,0.008034320538513605,1.0,1.0,1.7099919039132632,0.694,0.7717175596952819,2.50614857673645,0.502040684223175,0.5036811232566833,0.9975337386131287,
25,sae_diff,target,0.011054995439014673,1.0,1.0,1.512697548089846,0.658,0.7311151654823634,2.8935956954956055,0.502040684223175,0.5036811232566833,0.9975337386131287,
25,sae_acts_post,target,0.015493471410577967,1.0,1.0,1.9682403287435124,0.672,0.7075571346264644,4.503573894500732,,,,
25,sae_acts_and_error,target,0.01100145642008935,1.0,1.0,1.5045879996673652,0.662,0.7331956980987132,2.886845827102661,0.502040684223175,0.5036811232566833,0.9975337386131287,"[15077, 3935, 4946]"
26,sae_input,target,0.007533193984189378,1.0,1.0,1.906300273997101,0.694,0.7370948379351743,2.442338705062866,0.4989253282546997,0.49854597449302673,0.9995788335800171,
26,sae_diff,target,0.011127143541683619,1.0,1.0,1.6272103189530431,0.68,0.7156942777110844,2.896132469177246,0.4989253282546997,0.49854597449302673,0.9995788335800171,
26,sae_acts_post,target,0.015005133440374022,1.0,1.0,2.1755623168702543,0.68,0.7084913965586235,4.51275634765625,,,,
26,sae_acts_and_error,target,0.011111059565414303,1.0,1.0,1.6279498900824405,0.68,0.7153101240496198,2.8946876525878906,0.4989253282546997,0.49854597449302673,0.9995788335800171,"[3935, 15943, 690]"
27,sae_input,target,0.008180625369984587,1.0,0.9999999999999999,1.765502829466064,0.732,0.7776811594202898,2.530038595199585,0.5145410299301147,0.5176081657409668,0.998484194278717,
27,sae_diff,target,0.011724479918115899,1.0,1.0,1.2959671364997876,0.694,0.7614009661835749,2.9663777351379395,0.5145410299301147,0.5176081657409668,0.998484194278717,
27,sae_acts_post,target,0.015591276597003429,1.0,1.0,1.8237835250999714,0.7,0.7390338164251207,4.460299015045166,,,,
27,sae_acts_and_error,target,0.01172646105149697,1.0,0.9999999999999999,1.2937457321250139,0.704,0.7614653784219,2.96624493598938,0.5145410299301147,0.5176081657409668,0.998484194278717,"[14132, 3029, 2331]"
28,sae_input,target,0.007562636249898383,1.0,1.0,1.7214861551830136,0.718,0.7575845085110138,2.448763608932495,0.536223292350769,0.5383102893829346,0.9984009861946106,
28,sae_diff,target,0.010252204234872126,1.0,0.9999999999999999,1.486951980375345,0.702,0.741428823538849,2.826059579849243,0.536223292350769,0.5383102893829346,0.9984009861946106,
28,sae_acts_post,target,0.014927961410303397,1.0,1.0,1.6484318956532156,0.708,0.7558839100928912,4.356611728668213,,,,
28,sae_acts_and_error,target,0.010293745911560723,1.0,1.0,1.4793909419832345,0.706,0.7416534308770917,2.8299691677093506,0.536223292350769,0.5383102893829346,0.9984009861946106,"[14132, 3935, 10744]"
29,sae_input,target,0.008323505863357904,1.0,1.0,1.7529493966054603,0.704,0.7569711538461538,2.54264497756958,0.5299072861671448,0.5319398641586304,0.9988442063331604,
29,sae_diff,target,0.01103745151595318,1.0,1.0,1.5054951752679662,0.688,0.74875,2.8945088386535645,0.5299072861671448,0.5319398641586304,0.9988442063331604,
29,sae_acts_post,target,0.015019326660390514,1.0,1.0,1.9319938658964768,0.68,0.7265384615384615,4.538712978363037,,,,
29,sae_acts_and_error,target,0.011021571722309706,1.0,1.0,1.505812362199592,0.688,0.7490224358974359,2.8930370807647705,0.5299072861671448,0.5319398641586304,0.9988442063331604,"[9666, 14132, 7985]"
30,sae_input,target,0.008539856314087131,1.0,1.0,1.5826283276276616,0.734,0.7838695714904055,2.5686638355255127,0.5306766629219055,0.5312356948852539,0.9986369609832764,
30,sae_diff,target,0.011550411057770042,1.0,0.9999999999999999,1.3970997317377545,0.71,0.7549656134275959,2.9468138217926025,0.5306766629219055,0.5312356948852539,0.9986369609832764,
30,sae_acts_post,target,0.015820048497758733,1.0,1.0,1.7389042484729307,0.702,0.7427018708219111,4.597789287567139,,,,
30,sae_acts_and_error,target,0.011526083901184972,1.0,1.0,1.4063489436327201,0.712,0.7515830648134789,2.944791793823242,0.5306766629219055,0.5312356948852539,0.9986369609832764,"[3935, 10639, 5894]"
31,sae_input,target,0.007783477261989854,1.0,1.0,1.9210337730116143,0.696,0.7345590117767538,2.4684009552001953,0.5228648781776428,0.5263338088989258,0.9984078407287598,
31,sae_diff,target,0.01071966571043222,1.0,1.0,1.5045546907855778,0.678,0.7368631592421916,2.859067440032959,0.5228648781776428,0.5263338088989258,0.9984078407287598,
31,sae_acts_post,target,0.014941192712925972,1.0,1.0,1.7685530260091118,0.682,0.7365591397849462,4.391451358795166,,,,
31,sae_acts_and_error,target,0.01073625858488323,1.0,1.0,1.5060285578329704,0.676,0.7377112135176651,2.86028790473938,0.5228648781776428,0.5263338088989258,0.9984078407287598,"[14132, 15077, 11456]"
32,sae_input,target,0.008122752309370714,1.0,1.0,1.5754380652230153,0.712,0.7761910860655737,2.5274627208709717,0.5087382793426514,0.5087785720825195,0.9995925426483154,
32,sae_diff,target,0.011902799800738962,1.0,0.9999999999999999,1.3329438231284763,0.698,0.7569319928278688,2.978161096572876,0.5087382793426514,0.5087785720825195,0.9995925426483154,
32,sae_acts_post,target,0.01593971273504382,1.0,1.0,1.651462704399944,0.688,0.727843237704918,4.410520553588867,,,,
32,sae_acts_and_error,target,0.011890041804466237,1.0,1.0,1.3309709785528516,0.702,0.7571881403688525,2.97729754447937,0.5087382793426514,0.5087785720825195,0.9995925426483154,"[3935, 13716, 11085]"
